Year,Sex,Race,Ideology,Political,Prestige,Sprestige,Mprestige,Dprestige,Socpos,Happymar,Happy,Opinion of family income
2004,Male,White,Conservative,Strong republican,32,38,31,35,5,Pretty happy,Pretty happy,Average
2004,Male,White,Moderate,Independent,35,38,42,27,5,Very happy,Not too happy,Average
2004,Female,White,Moderate,Strong democrat,35,28,35,45,5,Very happy,Very happy,Average
2004,Female,Other,Extrmly conservative,Strong republican,47,47,0,26,5,Very happy,Very happy,Average
2004,Female,White,Conservative,Strong republican,33,24,0,50,7,Very happy,Pretty happy,Above average
2004,Female,White,Moderate,Independent,28,28,0,46,5,Pretty happy,Very happy,Average
2004,Female,White,Moderate,"Ind,near dem",38,48,29,35,3,Very happy,Pretty happy,Below average
2004,Male,White,Moderate,Not str republican,32,42,0,46,7,Very happy,Pretty happy,Above average
2004,Male,White,Conservative,Strong republican,69,53,47,50,7,Very happy,Very happy,Above average
2004,Female,White,Conservative,Strong republican,53,62,55,73,5,Pretty happy,Pretty happy,Average
2004,Male,White,Conservative,Strong republican,62,38,47,34,9,Very happy,Pretty happy,Far above average
2004,Female,White,Moderate,"Ind,near rep",25,0,0,33,3,Very happy,Pretty happy,Below average
2004,Female,White,Liberal,Independent,26,50,31,51,5,Very happy,Very happy,Average
2004,Male,White,Moderate,"Ind,near dem",40,61,0,35,5,Pretty happy,Pretty happy,Average
2004,Male,White,Slightly liberal,"Ind,near dem",35,28,0,43,5,Very happy,Very happy,Average
2004,Female,White,Slghtly conservative,"Ind,near rep",35,36,35,36,5,Very happy,Very happy,Average
2004,Male,White,Slightly liberal,Not str democrat,35,31,69,70,5,Pretty happy,Pretty happy,Average
2004,Female,White,Moderate,Not str republican,42,53,0,35,5,Very happy,Pretty happy,Average
2004,Male,White,Slghtly conservative,Not str republican,51,27,48,0,5,Very happy,Pretty happy,Average
2004,Male,White,Slghtly conservative,Strong republican,53,35,28,35,5,Pretty happy,Pretty happy,Average
2004,Female,White,Slightly liberal,"Ind,near dem",47,43,0,47,7,Very happy,Very happy,Above average
2004,Male,White,Moderate,Independent,62,38,24,60,3,Very happy,Pretty happy,Below average
2004,Female,White,Conservative,Not str republican,48,37,31,35,5,Very happy,Pretty happy,Average
2004,Female,White,Moderate,Other party,69,52,0,69,5,Very happy,Very happy,Average
2004,Female,Black,Liberal,"Ind,near dem",28,43,25,28,5,Very happy,Very happy,Average
2004,Male,White,Conservative,Strong republican,39,35,21,35,5,Very happy,Very happy,Average
2004,Female,White,Conservative,Strong republican,28,38,0,46,5,Very happy,Pretty happy,Average
2004,Male,White,Conservative,"Ind,near rep",46,33,61,31,5,Very happy,Very happy,Average
2004,Male,White,Conservative,Strong republican,32,40,46,31,5,Very happy,Very happy,Average
2004,Female,White,Moderate,"Ind,near rep",53,0,47,35,7,Very happy,Pretty happy,Above average
2004,Female,White,Slghtly conservative,Strong republican,51,41,34,25,5,Not too happy,Very happy,Average
2004,Male,White,Conservative,Strong republican,45,46,35,0,7,Very happy,Very happy,Above average
2004,Female,White,Moderate,Independent,31,45,55,24,3,Very happy,Pretty happy,Below average
2004,Female,White,Extrmly conservative,Strong republican,48,80,64,74,7,Not too happy,Pretty happy,Above average
2004,Female,White,Conservative,Strong republican,50,47,38,70,3,Very happy,Pretty happy,Below average
2004,Female,White,Conservative,Strong republican,25,24,0,38,5,Pretty happy,Pretty happy,Average
2004,Male,White,Moderate,Not str democrat,53,38,39,0,3,Very happy,Pretty happy,Below average
2004,Female,White,Conservative,Strong republican,48,31,0,46,5,Very happy,Very happy,Average
2004,Male,White,Moderate,Independent,48,32,0,0,3,Pretty happy,Pretty happy,Below average
2004,Female,White,Moderate,Independent,28,28,0,38,5,Pretty happy,Pretty happy,Average
2004,Male,White,Slghtly conservative,Not str republican,61,55,0,44,5,Not too happy,Not too happy,Average
2004,Male,White,Extrmly conservative,Strong republican,39,61,47,45,7,Very happy,Very happy,Above average
2004,Male,White,Conservative,Strong republican,53,61,47,46,7,Very happy,Pretty happy,Above average
2004,Male,White,Moderate,Independent,57,21,0,35,3,Very happy,Pretty happy,Below average
2004,Male,White,Slghtly conservative,"Ind,near rep",31,53,0,38,7,Very happy,Very happy,Above average
2004,Female,White,Conservative,Strong republican,60,72,64,0,7,Very happy,Very happy,Above average
2004,Male,White,Moderate,"Ind,near rep",38,35,47,38,3,Not too happy,Not too happy,Below average
2004,Female,White,Moderate,Independent,46,37,45,35,3,Pretty happy,Pretty happy,Below average
2004,Female,White,Moderate,Not str democrat,48,31,0,39,5,Pretty happy,Very happy,Average
2004,Male,White,Moderate,"Ind,near dem",39,55,0,38,3,Very happy,Pretty happy,Below average
2004,Male,White,Liberal,Independent,45,64,24,46,3,Very happy,Very happy,Below average
2004,Male,White,Slghtly conservative,Not str democrat,50,43,0,0,5,Not too happy,Pretty happy,Average
2004,Female,White,Extremely liberal,"Ind,near dem",26,0,48,0,1,Pretty happy,Pretty happy,Far below average
2004,Male,White,Moderate,Not str democrat,28,24,0,0,7,Pretty happy,Pretty happy,Above average
2004,Female,White,Moderate,Independent,61,31,24,35,5,Very happy,Very happy,Average
2004,Female,White,Slghtly conservative,Independent,47,60,50,62,5,Pretty happy,Pretty happy,Average
2004,Female,White,Slightly liberal,Not str democrat,17,45,47,50,7,Very happy,Pretty happy,Above average
2004,Male,White,Moderate,Not str republican,58,49,0,44,7,Pretty happy,Pretty happy,Above average
2004,Male,White,Liberal,Strong democrat,27,36,35,0,3,Very happy,Not too happy,Below average
2004,Female,White,Moderate,"Ind,near rep",47,47,74,45,5,Very happy,Very happy,Average
2004,Female,White,Extrmly conservative,Strong republican,0,66,48,66,5,Pretty happy,Very happy,Average
2004,Male,Black,Slghtly conservative,"Ind,near dem",58,32,0,42,7,Very happy,Very happy,Above average
2004,Male,White,Extrmly conservative,Strong republican,53,45,64,80,5,Very happy,Pretty happy,Average
2004,Male,White,Moderate,"Ind,near rep",39,39,33,38,7,Very happy,Not too happy,Above average
2004,Male,White,Moderate,Not str democrat,75,44,0,75,7,Very happy,Pretty happy,Above average
2004,Female,White,Extrmly conservative,Strong republican,31,45,0,0,5,Very happy,Pretty happy,Average
2004,Female,White,Slghtly conservative,Not str republican,47,45,31,48,5,Pretty happy,Pretty happy,Average
2004,Male,White,Conservative,Strong republican,73,45,48,0,5,Very happy,Very happy,Average
2004,Female,White,Moderate,Not str republican,69,80,38,69,7,Pretty happy,Pretty happy,Above average
2004,Male,White,Conservative,Strong republican,51,60,0,47,1,Very happy,Very happy,Far below average
2004,Female,White,Moderate,Strong republican,52,52,44,62,7,Very happy,Very happy,Above average
2004,Male,White,Moderate,Not str republican,58,64,32,0,7,Very happy,Pretty happy,Above average
2004,Female,White,Moderate,Not str republican,38,35,64,31,7,Very happy,Pretty happy,Above average
2004,Male,White,Slightly liberal,Strong democrat,40,31,33,39,3,Pretty happy,Pretty happy,Below average
2004,Male,White,Extrmly conservative,Independent,35,31,58,39,7,Pretty happy,Pretty happy,Above average
2004,Female,White,Conservative,Strong republican,49,49,28,30,7,Very happy,Very happy,Above average
2004,Male,White,Liberal,Strong democrat,59,74,42,42,7,Very happy,Very happy,Above average
2004,Male,White,Moderate,Not str democrat,36,25,0,50,5,Pretty happy,Very happy,Average
2004,Male,White,Moderate,Strong democrat,31,25,0,40,5,Pretty happy,Pretty happy,Average
2004,Female,White,Moderate,Strong republican,38,44,31,43,5,Very happy,Very happy,Average
2004,Female,White,Slghtly conservative,Strong democrat,53,25,0,25,5,Pretty happy,Pretty happy,Average
2004,Male,White,Extrmly conservative,Strong republican,61,24,69,47,5,Very happy,Very happy,Average
2004,Female,Black,Moderate,"Ind,near rep",47,37,28,0,3,Very happy,Not too happy,Below average
2004,Male,Black,Liberal,Strong democrat,29,35,22,0,5,Pretty happy,Pretty happy,Average
2004,Female,White,Moderate,"Ind,near dem",53,49,45,31,7,Pretty happy,Pretty happy,Above average
2004,Female,White,Extrmly conservative,Not str republican,38,47,35,32,5,Very happy,Pretty happy,Average
2004,Male,White,Extrmly conservative,Strong republican,66,38,33,53,5,Very happy,Very happy,Average
2004,Female,White,Moderate,Not str democrat,31,43,0,45,3,Pretty happy,Not too happy,Below average
2004,Female,White,Extremely liberal,"Ind,near rep",64,53,0,69,7,Very happy,Very happy,Above average
2004,Male,Other,Moderate,"Ind,near dem",44,0,0,62,3,Very happy,Very happy,Below average
2004,Male,White,Conservative,Strong republican,60,48,0,46,5,Pretty happy,Pretty happy,Average
2004,Female,White,Slghtly conservative,Strong republican,53,73,61,39,7,Pretty happy,Not too happy,Above average
2004,Female,Other,Moderate,Strong democrat,55,43,0,60,5,Very happy,Very happy,Average
2004,Female,White,Slightly liberal,"Ind,near dem",68,56,0,60,5,Pretty happy,Pretty happy,Average
2004,Male,White,Liberal,Strong democrat,44,61,61,65,7,Very happy,Not too happy,Above average
2004,Female,White,Extremely liberal,Strong democrat,52,39,0,0,5,Very happy,Very happy,Average
2004,Female,White,Conservative,Not str republican,38,63,64,59,5,Very happy,Very happy,Average
2004,Female,White,Conservative,Not str republican,36,62,47,0,3,Very happy,Very happy,Below average
2004,Male,White,Moderate,Independent,43,64,0,53,3,Very happy,Pretty happy,Below average
2004,Female,Black,Conservative,Not str democrat,31,35,0,33,5,Very happy,Pretty happy,Average
2004,Male,White,Slightly liberal,Not str republican,46,54,47,0,5,Pretty happy,Very happy,Average
2004,Female,Black,Moderate,Not str democrat,62,50,31,31,5,Very happy,Pretty happy,Average
2004,Male,White,Slghtly conservative,Strong republican,38,69,0,0,7,Pretty happy,Pretty happy,Above average
2004,Male,Black,Moderate,Not str democrat,59,74,0,0,7,Pretty happy,Pretty happy,Above average
2004,Male,White,Extrmly conservative,Not str democrat,46,60,0,46,5,Very happy,Very happy,Average
2004,Female,White,Conservative,Strong republican,53,47,59,65,5,Very happy,Pretty happy,Average
2004,Female,White,Conservative,Strong republican,72,60,64,35,7,Very happy,Very happy,Above average
2004,Female,Other,Moderate,Independent,48,48,0,61,5,Pretty happy,Pretty happy,Average
2004,Female,White,Liberal,"Ind,near dem",58,47,64,63,5,Pretty happy,Very happy,Average
2004,Male,White,Extrmly conservative,Strong republican,49,60,47,50,7,Very happy,Very happy,Above average
2004,Male,Black,Conservative,Independent,39,34,25,39,5,Very happy,Very happy,Average
2004,Male,White,Moderate,Strong democrat,37,45,48,46,5,Pretty happy,Pretty happy,Average
2004,Male,White,Slghtly conservative,"Ind,near dem",42,40,47,61,5,Very happy,Very happy,Average
2004,Female,White,Conservative,Strong republican,56,39,0,31,3,Pretty happy,Pretty happy,Below average
2004,Male,White,Liberal,"Ind,near dem",24,0,0,27,5,Very happy,Pretty happy,Average
2004,Male,White,Conservative,Not str republican,38,50,31,38,5,Very happy,Pretty happy,Average
2004,Female,White,Conservative,Strong republican,47,46,27,36,7,Pretty happy,Pretty happy,Above average
2004,Male,White,Slghtly conservative,Not str democrat,37,49,0,44,5,Pretty happy,Very happy,Average
2004,Male,White,Moderate,Strong republican,25,27,32,35,3,Very happy,Very happy,Below average
2004,Male,Other,Slghtly conservative,"Ind,near dem",25,18,31,35,3,Very happy,Pretty happy,Below average
2004,Female,White,Moderate,Independent,25,29,35,0,5,Not too happy,Not too happy,Average
2004,Male,White,Conservative,Strong democrat,45,61,0,31,7,Very happy,Pretty happy,Above average
2004,Male,White,Slghtly conservative,Not str republican,35,25,39,45,5,Very happy,Pretty happy,Average
2004,Male,White,Slghtly conservative,Not str republican,38,0,0,50,7,Very happy,Very happy,Above average
2004,Male,White,Conservative,Strong republican,75,54,61,74,7,Very happy,Very happy,Above average
2004,Male,White,Conservative,Not str republican,59,54,64,62,7,Pretty happy,Pretty happy,Above average
2004,Male,White,Conservative,Strong republican,47,59,0,0,7,Pretty happy,Pretty happy,Above average
2004,Male,Black,Slghtly conservative,Not str democrat,24,25,25,28,5,Pretty happy,Not too happy,Average
2004,Female,White,Slghtly conservative,Not str democrat,0,29,0,29,3,Very happy,Pretty happy,Below average
2004,Male,White,Conservative,"Ind,near rep",58,38,16,0,7,Pretty happy,Pretty happy,Above average
2004,Male,White,Moderate,"Ind,near rep",51,28,80,47,3,Very happy,Very happy,Below average
2004,Male,White,Slghtly conservative,Not str republican,51,51,0,35,7,Very happy,Very happy,Above average
2004,Female,White,Conservative,Strong republican,47,31,0,49,3,Very happy,Pretty happy,Below average
2004,Male,White,Conservative,Strong republican,61,53,48,33,5,Very happy,Pretty happy,Average
2004,Female,White,Moderate,Strong republican,49,50,0,49,7,Pretty happy,Pretty happy,Above average
2004,Male,White,Moderate,Not str democrat,74,74,0,0,7,Very happy,Very happy,Above average
2004,Female,Black,Moderate,Independent,25,22,25,29,7,Not too happy,Pretty happy,Above average
2004,Male,White,Conservative,Strong republican,25,39,38,0,5,Pretty happy,Pretty happy,Average
2004,Female,Black,Conservative,Strong democrat,45,42,0,31,5,Not too happy,Pretty happy,Average
2004,Male,Black,Moderate,Strong democrat,50,36,35,50,5,Pretty happy,Very happy,Average
2004,Female,White,Moderate,"Ind,near dem",27,35,35,50,1,Pretty happy,Not too happy,Far below average
2004,Female,White,Moderate,Not str democrat,32,33,25,36,5,Very happy,Very happy,Average
2004,Male,White,Moderate,Not str democrat,35,32,0,36,5,Pretty happy,Pretty happy,Average
2004,Male,White,Slightly liberal,Not str democrat,38,38,0,73,5,Very happy,Very happy,Average
2004,Female,White,Moderate,Strong democrat,64,52,51,52,5,Pretty happy,Very happy,Average
2004,Male,White,Slghtly conservative,Not str republican,36,53,38,38,7,Very happy,Very happy,Above average
2004,Female,White,Slghtly conservative,Not str republican,51,45,0,28,7,Very happy,Very happy,Above average
2004,Male,White,Moderate,Not str republican,24,47,0,45,5,Pretty happy,Pretty happy,Average
2004,Female,White,Slghtly conservative,"Ind,near rep",40,45,39,0,5,Very happy,Pretty happy,Average
2004,Female,White,Conservative,Not str republican,61,51,54,72,5,Pretty happy,Pretty happy,Average
2004,Male,White,Slightly liberal,"Ind,near dem",73,45,39,0,5,Pretty happy,Pretty happy,Average
2004,Male,White,Conservative,Strong republican,38,39,45,36,7,Very happy,Very happy,Above average
2004,Male,White,Extrmly conservative,Strong republican,72,0,0,45,7,Pretty happy,Very happy,Above average
2004,Female,White,Liberal,Strong democrat,43,43,0,0,7,Pretty happy,Pretty happy,Above average
2004,Male,White,Slightly liberal,Other party,62,66,64,65,7,Very happy,Pretty happy,Above average
2004,Female,White,Slghtly conservative,Not str republican,61,61,32,41,5,Very happy,Pretty happy,Average
2004,Female,White,Moderate,Not str republican,48,45,0,35,5,Very happy,Pretty happy,Average
2004,Female,White,Moderate,"Ind,near rep",25,41,25,46,3,Very happy,Very happy,Below average
2004,Female,White,Moderate,Not str democrat,48,38,61,35,5,Very happy,Pretty happy,Average
2004,Male,White,Moderate,"Ind,near dem",63,43,0,68,7,Very happy,Very happy,Above average
2004,Female,White,Liberal,Strong democrat,52,46,64,0,5,Very happy,Very happy,Average
2004,Female,White,Liberal,Strong democrat,31,60,33,52,5,Pretty happy,Pretty happy,Average
2004,Male,White,Moderate,"Ind,near dem",38,40,48,0,5,Pretty happy,Pretty happy,Average
2004,Female,White,Slghtly conservative,Not str republican,31,61,31,46,7,Very happy,Pretty happy,Above average
2004,Female,White,Slightly liberal,Strong democrat,51,50,55,66,7,Very happy,Pretty happy,Above average
2004,Female,White,Moderate,Not str democrat,48,53,0,44,5,Very happy,Very happy,Average
2004,Male,Other,Moderate,Independent,45,50,27,45,5,Pretty happy,Pretty happy,Average
2004,Male,White,Moderate,Not str democrat,59,41,27,27,5,Very happy,Very happy,Average
2004,Female,White,Moderate,Independent,33,37,0,27,5,Very happy,Very happy,Average
2004,Female,White,Moderate,Not str democrat,24,25,24,38,3,Very happy,Pretty happy,Below average
2004,Male,Other,Slghtly conservative,"Ind,near dem",65,48,21,40,7,Pretty happy,Pretty happy,Above average
2004,Male,White,Extrmly conservative,Strong republican,24,61,74,64,5,Pretty happy,Pretty happy,Average
2004,Female,White,Conservative,Strong republican,48,50,0,46,5,Very happy,Very happy,Average
2004,Male,Other,Moderate,Independent,48,39,47,0,5,Pretty happy,Pretty happy,Average
2004,Male,White,Slghtly conservative,Other party,46,54,65,50,7,Very happy,Pretty happy,Above average
2004,Male,Other,Moderate,Not str democrat,28,0,30,27,3,Pretty happy,Pretty happy,Below average
2004,Female,Other,Slghtly conservative,"Ind,near dem",38,24,0,35,5,Pretty happy,Pretty happy,Average
2004,Male,Other,Slghtly conservative,Strong republican,35,54,31,46,7,Pretty happy,Pretty happy,Above average
2004,Male,Other,Conservative,Independent,48,36,17,50,1,Pretty happy,Very happy,Far below average
2004,Female,White,Conservative,Not str democrat,48,38,0,39,5,Pretty happy,Pretty happy,Average
2004,Female,White,Slghtly conservative,Not str republican,33,60,0,42,5,Pretty happy,Pretty happy,Average
2004,Female,Other,Moderate,Not str democrat,31,38,0,46,5,Very happy,Very happy,Average
2004,Male,White,Moderate,Other party,38,64,39,49,7,Very happy,Very happy,Above average
2004,Female,White,Conservative,Strong republican,46,45,0,0,5,Pretty happy,Pretty happy,Average
2004,Female,White,Slghtly conservative,"Ind,near rep",64,53,39,46,7,Pretty happy,Pretty happy,Above average
2004,Female,White,Moderate,Independent,0,49,31,45,5,Very happy,Pretty happy,Average
2004,Male,White,Slightly liberal,Not str democrat,64,61,64,48,5,Very happy,Pretty happy,Average
2004,Male,White,Extrmly conservative,"Ind,near rep",48,28,0,72,3,Very happy,Pretty happy,Below average
2004,Male,White,Slghtly conservative,Not str republican,59,53,64,40,7,Very happy,Very happy,Above average
2004,Male,White,Slghtly conservative,Not str republican,45,48,38,38,7,Very happy,Very happy,Above average
2004,Male,White,Extremely liberal,Strong democrat,65,47,0,60,5,Pretty happy,Very happy,Average
2004,Female,White,Extremely liberal,"Ind,near dem",48,35,37,74,3,Pretty happy,Pretty happy,Below average
2004,Female,White,Moderate,"Ind,near dem",25,42,25,0,3,Pretty happy,Pretty happy,Below average
2004,Male,White,Moderate,Independent,32,36,47,59,5,Pretty happy,Pretty happy,Average
2004,Female,White,Moderate,Independent,51,37,0,43,5,Very happy,Very happy,Average
2004,Male,White,Liberal,Strong democrat,46,47,0,69,7,Very happy,Not too happy,Above average
2004,Female,White,Moderate,Not str republican,60,45,61,53,5,Pretty happy,Pretty happy,Average
2004,Female,White,Conservative,Strong republican,47,59,16,45,5,Very happy,Very happy,Average
2004,Female,White,Moderate,Not str republican,39,38,0,41,3,Very happy,Pretty happy,Below average
2004,Male,White,Slightly liberal,Strong democrat,50,39,48,48,5,Very happy,Pretty happy,Average
2004,Male,White,Conservative,Strong republican,60,45,45,72,7,Very happy,Very happy,Above average
2004,Male,White,Slghtly conservative,Not str republican,60,49,0,39,7,Very happy,Very happy,Above average
2004,Female,White,Slghtly conservative,Not str republican,47,43,0,80,7,Pretty happy,Pretty happy,Above average
2004,Male,White,Moderate,Strong republican,72,31,35,50,7,Very happy,Pretty happy,Above average
2004,Female,White,Conservative,Strong republican,59,37,47,53,5,Very happy,Pretty happy,Average
2004,Female,White,Extremely liberal,Strong democrat,39,39,60,39,7,Very happy,Very happy,Above average
2004,Female,White,Liberal,"Ind,near dem",56,49,49,73,5,Very happy,Pretty happy,Average
2004,Female,White,Liberal,"Ind,near dem",51,35,38,50,5,Very happy,Pretty happy,Average
2004,Male,White,Slightly liberal,"Ind,near dem",49,64,38,37,5,Pretty happy,Pretty happy,Average
2004,Female,White,Conservative,Not str republican,32,38,33,35,5,Very happy,Very happy,Average
2004,Female,White,Slightly liberal,"Ind,near dem",64,50,28,28,5,Very happy,Pretty happy,Average
2004,Female,White,Moderate,Not str republican,64,31,46,46,5,Very happy,Pretty happy,Average
2004,Female,White,Conservative,Strong republican,31,65,0,70,7,Very happy,Very happy,Above average
2004,Male,White,Extrmly conservative,Independent,35,35,0,35,1,Not too happy,Not too happy,Far below average
2004,Male,White,Moderate,Strong democrat,59,48,39,27,7,Pretty happy,Pretty happy,Above average
2004,Male,White,Slightly liberal,Strong republican,44,36,47,65,5,Very happy,Pretty happy,Average
2004,Male,White,Conservative,Not str republican,35,38,54,44,7,Very happy,Very happy,Above average
2004,Male,White,Slghtly conservative,Strong republican,45,60,33,59,7,Very happy,Very happy,Above average
2004,Male,White,Moderate,"Ind,near rep",39,25,61,27,3,Not too happy,Pretty happy,Below average
2004,Male,White,Conservative,Strong republican,38,38,35,35,5,Very happy,Very happy,Average
2004,Male,White,Conservative,Strong republican,69,0,33,50,7,Very happy,Very happy,Above average
2004,Male,White,Slightly liberal,"Ind,near rep",49,17,26,27,7,Very happy,Very happy,Above average
2004,Female,White,Moderate,Independent,55,50,47,46,7,Very happy,Very happy,Above average
2004,Female,White,Liberal,Not str democrat,35,35,0,63,3,Not too happy,Pretty happy,Below average
2004,Male,White,Moderate,Not str democrat,28,24,0,46,5,Pretty happy,Pretty happy,Average
2004,Male,White,Conservative,"Ind,near rep",44,36,0,0,5,Pretty happy,Pretty happy,Average
2004,Female,White,Moderate,Independent,31,46,0,35,5,Very happy,Very happy,Average
2004,Male,White,Moderate,Strong democrat,35,38,48,0,3,Very happy,Very happy,Below average
2004,Female,White,Moderate,"Ind,near rep",61,59,64,46,7,Very happy,Very happy,Above average
2004,Female,White,Slghtly conservative,Strong republican,35,35,0,46,3,Not too happy,Not too happy,Below average
2004,Female,White,Slightly liberal,"Ind,near dem",39,49,64,66,5,Very happy,Very happy,Average
2004,Male,White,Slghtly conservative,Not str democrat,46,0,0,46,3,Very happy,Pretty happy,Below average
2004,Female,White,Moderate,"Ind,near dem",46,46,47,49,3,Very happy,Pretty happy,Below average
2004,Male,Black,Conservative,Not str democrat,48,39,0,25,5,Pretty happy,Pretty happy,Average
2004,Female,White,Liberal,"Ind,near dem",31,35,42,46,7,Pretty happy,Pretty happy,Above average
2004,Male,White,Conservative,"Ind,near dem",45,33,0,46,5,Very happy,Pretty happy,Average
2004,Male,White,Slghtly conservative,Strong republican,53,36,0,53,5,Very happy,Very happy,Average
2004,Female,White,Slightly liberal,"Ind,near dem",47,53,0,46,7,Very happy,Pretty happy,Above average
2004,Male,White,Moderate,Independent,32,47,45,0,5,Very happy,Very happy,Average
2004,Female,White,Moderate,Not str democrat,55,25,47,0,5,Very happy,Very happy,Average
2004,Male,White,Moderate,Not str democrat,32,0,35,0,5,Not too happy,Not too happy,Average
2004,Female,White,Moderate,Independent,0,36,22,42,3,Not too happy,Not too happy,Below average
2004,Male,White,Slghtly conservative,"Ind,near rep",73,38,0,35,7,Very happy,Pretty happy,Above average
2004,Male,White,Moderate,"Ind,near dem",39,50,25,44,5,Pretty happy,Pretty happy,Average
2004,Female,White,Slightly liberal,"Ind,near rep",46,40,0,49,5,Very happy,Pretty happy,Average
2004,Male,White,Slghtly conservative,"Ind,near rep",38,40,0,38,5,Very happy,Very happy,Average
2004,Female,Other,Slghtly conservative,"Ind,near dem",39,73,0,72,1,Pretty happy,Pretty happy,Far below average
2004,Female,White,Moderate,"Ind,near dem",48,28,0,34,5,Pretty happy,Pretty happy,Average
2004,Male,White,Moderate,Independent,46,31,0,46,5,Very happy,Pretty happy,Average
2004,Female,White,Conservative,Not str republican,0,38,28,35,3,Very happy,Very happy,Below average
2004,Female,White,Slghtly conservative,"Ind,near rep",30,35,0,59,3,Pretty happy,Pretty happy,Below average
2004,Female,White,Moderate,"Ind,near rep",55,55,0,73,3,Very happy,Pretty happy,Below average
2004,Female,White,Slightly liberal,"Ind,near rep",48,64,0,38,5,Very happy,Very happy,Average
2004,Female,White,Moderate,Strong democrat,40,49,0,27,5,Very happy,Very happy,Average
2004,Male,White,Slghtly conservative,Strong democrat,45,0,0,40,1,Pretty happy,Pretty happy,Far below average
2004,Female,White,Moderate,Not str republican,33,42,25,28,5,Not too happy,Pretty happy,Average
2004,Male,White,Moderate,Independent,32,0,0,38,3,Very happy,Pretty happy,Below average
2004,Male,White,Slghtly conservative,Not str republican,40,25,0,0,3,Pretty happy,Pretty happy,Below average
2004,Male,White,Slghtly conservative,Independent,36,25,0,28,3,Pretty happy,Pretty happy,Below average
2004,Female,White,Moderate,Strong democrat,31,37,0,0,5,Pretty happy,Very happy,Average
2004,Female,White,Moderate,Independent,48,53,49,40,5,Very happy,Very happy,Average
2004,Male,White,Moderate,Independent,42,25,0,35,5,Pretty happy,Pretty happy,Average
2004,Female,White,Conservative,Strong democrat,48,50,42,35,3,Pretty happy,Pretty happy,Below average
2004,Female,White,Slightly liberal,Independent,33,42,38,58,5,Very happy,Very happy,Average
2004,Female,White,Slghtly conservative,Strong republican,28,39,28,31,5,Very happy,Not too happy,Average
2004,Male,White,Moderate,Independent,35,0,0,0,5,Very happy,Very happy,Average
2004,Female,White,Moderate,Independent,47,42,43,49,5,Pretty happy,Pretty happy,Average
2004,Male,White,Extrmly conservative,Strong republican,65,31,0,68,5,Very happy,Very happy,Average
2004,Male,White,Moderate,"Ind,near dem",28,35,29,46,3,Very happy,Not too happy,Below average
2004,Female,White,Moderate,Independent,64,45,0,33,5,Very happy,Pretty happy,Average
2004,Male,White,Slightly liberal,Not str republican,46,37,0,46,5,Pretty happy,Pretty happy,Average
2004,Female,White,Moderate,Not str republican,60,46,0,46,5,Pretty happy,Pretty happy,Average
2004,Female,White,Conservative,Strong democrat,33,0,27,46,5,Not too happy,Very happy,Average
2004,Female,White,Moderate,Not str republican,29,35,35,0,5,Very happy,Very happy,Average
2004,Male,White,Slghtly conservative,Not str democrat,55,39,0,47,5,Pretty happy,Pretty happy,Average
2004,Female,White,Conservative,Strong republican,46,25,31,0,3,Very happy,Very happy,Below average
2004,Female,White,Conservative,Strong democrat,35,39,0,35,5,Very happy,Very happy,Average
2004,Male,White,Moderate,Strong republican,43,46,42,60,5,Pretty happy,Pretty happy,Average
2004,Female,White,Moderate,Not str democrat,32,40,39,44,3,Not too happy,Pretty happy,Below average
2004,Female,White,Slghtly conservative,Not str republican,43,38,39,61,7,Very happy,Very happy,Above average
2004,Female,White,Slghtly conservative,Not str republican,54,39,69,72,5,Pretty happy,Pretty happy,Average
2004,Female,White,Slghtly conservative,Not str republican,69,38,45,35,5,Very happy,Very happy,Average
2004,Male,White,Conservative,Independent,61,29,61,74,5,Very happy,Very happy,Average
2004,Male,White,Moderate,Not str republican,42,0,38,36,5,Pretty happy,Not too happy,Average
2004,Female,Black,Moderate,"Ind,near rep",40,50,32,35,5,Pretty happy,Pretty happy,Average
2004,Female,White,Conservative,Not str democrat,48,42,32,35,3,Pretty happy,Pretty happy,Below average
2004,Female,White,Conservative,Strong republican,32,53,0,28,5,Pretty happy,Very happy,Average
2004,Male,White,Slghtly conservative,Not str democrat,48,50,32,43,5,Very happy,Pretty happy,Average
2004,Male,White,Moderate,Not str democrat,57,61,55,64,3,Very happy,Very happy,Below average
2004,Male,Other,Liberal,"Ind,near rep",32,0,0,25,5,Not too happy,Pretty happy,Average
2004,Female,White,Conservative,"Ind,near rep",16,53,27,28,3,Pretty happy,Pretty happy,Below average
2004,Female,White,Moderate,Not str republican,28,33,0,38,5,Very happy,Pretty happy,Average
2004,Female,Black,Liberal,Strong democrat,49,35,0,0,5,Very happy,Very happy,Average
2004,Male,White,Slightly liberal,Not str democrat,34,31,55,35,5,Very happy,Very happy,Average
2004,Male,White,Moderate,"Ind,near dem",59,44,45,60,7,Very happy,Very happy,Above average
2004,Female,White,Moderate,"Ind,near dem",21,0,39,0,3,Very happy,Pretty happy,Below average
2004,Female,White,Moderate,Independent,45,50,47,0,5,Pretty happy,Pretty happy,Average
2004,Female,White,Moderate,Independent,0,50,0,0,5,Very happy,Very happy,Average
2004,Female,White,Moderate,Independent,34,28,0,42,5,Very happy,Pretty happy,Average
2004,Male,White,Conservative,Independent,47,45,0,46,5,Very happy,Very happy,Average
2004,Female,White,Moderate,Independent,39,39,0,0,5,Very happy,Pretty happy,Average
